radius,refractive index,Ext. maxima,wavelgth ext. max.,Sca. maxima,wavelgth sca. max.,Abs. maxima,wavelgth abs. max.,EF. maxima,wavelgth ef. max.
20.0,1.0,1.280936981901377,516.0,0.043212415114369365,522.0,1.241792424942909,514.0,1.0189407510949768,508.0
20.0,1.05,1.5464126205084523,520.0,0.057436094351421815,522.0,1.4903290476526154,518.0,1.0264738099684323,418.0
20.0,1.1,1.8532845340985167,520.0,0.07546061206629236,526.0,1.7799325780104318,520.0,1.0334424648371652,520.0
20.0,1.15,2.1745209323577877,520.0,0.09860563101521881,532.0,2.0816954947508277,520.0,1.0399432072935682,526.0
20.0,1.2,2.5061687339861427,522.0,0.12813871418323602,536.0,2.3874317688474465,522.0,1.0462188572906042,534.0
20.0,1.25,2.825723728730643,526.0,0.16561429272174205,540.0,2.6780891405637743,524.0,1.0527095981020589,544.0
20.0,1.3,3.16897454836667,530.0,0.2132066337454177,546.0,2.9776092756215693,530.0,1.0587429322770148,550.0
20.0,1.35,3.5456026809345826,536.0,0.2725348432326056,548.0,3.2985851105577213,536.0,1.0636977756662875,560.0
20.0,1.4,3.9595333408804003,544.0,0.340332728699882,550.0,3.6419056035493633,542.0,1.068377001479414,572.0
20.0,1.45,4.415543954297278,548.0,0.4185686170966672,556.0,4.0086134644920595,548.0,1.072753922736369,582.0
20.0,1.5,4.828958477722034,552.0,0.5124909350252191,562.0,4.3405010529189845,552.0,1.0754678348332782,592.0
20.0,1.55,5.255649639833655,560.0,0.6251028355661895,568.0,4.656605217925827,558.0,1.0777930078215312,604.0
20.0,1.6,5.710227733926948,568.0,0.7601007848764013,576.0,4.982725104803061,566.0,1.0798824272985432,614.0
20.0,1.65,6.200143182421478,574.0,0.9226310121348161,582.0,5.314931398177283,574.0,1.0814912996117971,628.0
20.0,1.7000000000000002,6.730232578164862,582.0,1.0856202990472832,584.0,5.6562804938113205,580.0,1.0828061554231758,640.0
20.0,1.75,7.153535857197882,588.0,1.2557695034984293,592.0,5.92532845629126,586.0,1.0837862797202555,652.0
20.0,1.8,7.573602176008267,596.0,1.448168804692625,600.0,6.158035134109707,594.0,1.0840401919143547,662.0
20.0,1.85,8.013770765953897,604.0,1.665920570570149,608.0,6.386138068717519,602.0,1.0831368896832236,676.0
20.0,1.9,8.47694489981534,612.0,1.9126456994292726,616.0,6.60895452090091,610.0,1.0829353882253019,702.0
20.0,1.9500000000000002,8.943573577012577,620.0,2.160458085414299,624.0,6.82104862621415,618.0,1.0826240642577247,716.0
20.0,2.0,9.391573627587528,628.0,2.4310535293402977,632.0,7.0011831972776495,626.0,1.0821676376071152,732.0
24.0,1.0,1.6340163853492011,516.0,0.0925304198734284,522.0,1.5485010853564993,516.0,1.0322809865253255,508.0
24.0,1.05,1.9802664285902025,520.0,0.12270573826708811,524.0,1.8597460727678574,520.0,1.048862966964688,412.0
